1 55 109
1 55 116
1 62 109
1 62 128
1 80 116
1 80 135
1 87 128
1 87 135
2 68 143
2 68 156
2 78 121
2 78 146
2 93 121
2 93 156
2 107 143
2 107 146
3 57 111
3 57 118
3 64 111
3 64 130
3 82 118
3 82 137
3 89 130
3 89 137
4 70 139
4 70 152
4 74 123
4 74 148
4 95 123
4 95 152
4 103 139
4 103 148
5 59 113
5 59 120
5 66 113
5 66 132
5 84 120
5 84 133
5 85 132
5 85 133
6 72 141
6 72 154
6 76 125
6 76 150
6 91 125
6 91 154
6 105 141
6 105 150
7 79 155
7 79 162
7 86 118
7 86 155
7 91 118
7 91 125
7 108 125
7 108 162
8 55 109
8 55 134
8 65 144
8 65 149
8 74 109
8 74 144
8 100 134
8 100 149
9 81 151
9 81 158
9 88 120
9 88 151
9 93 120
9 93 121
9 104 121
9 104 158
10 57 111
10 57 136
10 61 140
10 61 145
10 76 111
10 76 140
10 102 136
10 102 145
11 83 153
11 83 160
11 90 116
11 90 153
11 95 116
11 95 123
11 106 123
11 106 160
12 59 113
12 59 138
12 63 142
12 63 147
12 78 113
12 78 142
12 98 138
12 98 147
13 56 132
13 56 147
13 63 147
13 63 158
13 96 143
13 96 158
13 107 132
13 107 143
14 72 124
14 72 137
14 79 124
14 79 155
14 89 110
14 89 137
14 102 110
14 102 155
15 58 128
15 58 149
15 65 149
15 65 160
15 92 139
15 92 160
15 103 128
15 103 139
16 68 126
16 68 133
16 81 126
16 81 151
16 85 112
16 85 133
16 98 112
16 98 151
17 60 130
17 60 145
17 61 145
17 61 162
17 94 141
17 94 162
17 105 130
17 105 141
18 70 122
18 70 135
18 83 122
18 83 153
18 87 114
18 87 135
18 100 114
18 100 153
19 77 129
19 77 136
19 84 129
19 84 148
19 102 136
19 102 155
19 103 148
19 103 155
20 55 116
20 55 141
20 69 112
20 69 157
20 90 116
20 90 157
20 94 112
20 94 141
21 73 131
21 73 138
21 80 131
21 80 150
21 98 138
21 98 151
21 105 150
21 105 151
22 57 118
22 57 143
22 71 114
22 71 159
22 86 118
22 86 159
22 96 114
22 96 143
23 75 127
23 75 134
23 82 127
23 82 146
23 100 134
23 100 153
23 107 146
23 107 153
24 59 120
24 59 139
24 67 110
24 67 161
24 88 120
24 88 161
24 92 110
24 92 139
25 59 138
25 59 139
25 70 122
25 70 139
25 101 115
25 101 122
25 108 115
25 108 138
26 62 109
26 62 154
26 77 129
26 77 154
26 81 109
26 81 158
26 96 129
26 96 158
27 55 134
27 55 141
27 72 124
27 72 141
27 97 117
27 97 124
27 104 117
27 104 134
28 64 111
28 64 156
28 73 131
28 73 156
28 83 111
28 83 160
28 92 131
28 92 160
29 57 136
29 57 143
29 68 126
29 68 143
29 99 119
29 99 126
29 106 119
29 106 136
30 66 113
30 66 152
30 75 127
30 75 152
30 79 113
30 79 162
30 94 127
30 94 162
31 58 124
31 58 157
31 69 146
31 69 157
31 78 113
31 78 146
31 79 113
31 79 124
32 64 115
32 64 130
32 88 144
32 88 151
32 101 115
32 101 144
32 105 130
32 105 151
33 60 126
33 60 159
33 71 148
33 71 159
33 74 109
33 74 148
33 81 109
33 81 126
34 66 117
34 66 132
34 90 140
34 90 153
34 97 117
34 97 140
34 107 132
34 107 153
35 56 122
35 56 161
35 67 150
35 67 161
35 76 111
35 76 150
35 83 111
35 83 122
36 62 119
36 62 128
36 86 142
36 86 155
36 99 119
36 99 142
36 103 128
36 103 155
37 64 115
37 64 156
37 71 114
37 71 115
37 93 149
37 93 156
37 100 114
37 100 149
38 56 132
38 56 161
38 77 136
38 77 161
38 85 123
38 85 132
38 106 123
38 106 136
39 66 117
39 66 152
39 67 110
39 67 117
39 95 145
39 95 152
39 102 110
39 102 145
40 58 128
40 58 157
40 73 138
40 73 157
40 87 125
40 87 128
40 108 125
40 108 138
41 62 119
41 62 154
41 69 112
41 69 119
41 91 147
41 91 154
41 98 112
41 98 147
42 60 130
42 60 159
42 75 134
42 75 159
42 89 121
42 89 130
42 104 121
42 104 134
43 63 135
43 63 142
43 70 135
43 70 152
43 75 152
43 75 159
43 86 142
43 86 159
44 58 124
44 58 149
44 84 120
44 84 129
44 93 120
44 93 149
44 97 124
44 97 129
45 65 137
45 65 144
45 72 137
45 72 154
45 77 154
45 77 161
45 88 144
45 88 161
46 60 126
46 60 145
46 80 116
46 80 131
46 95 116
46 95 145
46 99 126
46 99 131
47 61 133
47 61 140
47 68 133
47 68 156
47 73 156
47 73 157
47 90 140
47 90 157
48 56 122
48 56 147
48 82 118
48 82 127
48 91 118
48 91 147
48 101 122
48 101 127
49 74 123
49 74 144
49 85 112
49 85 123
49 94 112
49 94 127
49 101 127
49 101 144
50 63 135
50 63 158
50 67 117
50 67 150
50 80 135
50 80 150
50 104 117
50 104 158
51 76 125
51 76 140
51 87 114
51 87 125
51 96 114
51 96 129
51 97 129
51 97 140
52 65 137
52 65 160
52 69 119
52 69 146
52 82 137
52 82 146
52 106 119
52 106 160
53 78 121
53 78 142
53 89 110
53 89 121
53 92 110
53 92 131
53 99 131
53 99 142
54 61 133
54 61 162
54 71 115
54 71 148
54 84 133
54 84 148
54 108 115
54 108 162
