 C2 : 110    2(1a:6 2c:48 2e:192 2f:24)
 C2 : 1    2(2b:20 2c:20 2d:80 2e:40 2f:110)
 C2 : 28    2(2f:270)
 C3 : 308    3(3b:18 3c:18 3d:126 3e:72 3f:36)
 C3 : 518    3(3g:270)
 C4 : 640    4(1a:6 4c:96 4d:96 4e:72)
 C5 : 730    5(5b:60 5c:90 5d:60 5e:60)
 C6 : 1189    6(6f:270)
 S2 : 28    2(2f:270)
 S4 : 550    4(2f:6 4e:216 4f:48)
 S6 : 874    6(6c:36 6d:72 6e:162)
 S6 : 1189    6(6f:270)
 S8 : 1296    8(2f:6 8b:16 8c:56 8d:32 8e:120 8f:40)
 S8 : 1297    8(2f:6 8c:32 8d:88 8e:136 8f:8)
 S10 : 2397   10(10b:30 10c:60 10d:120 10e:60)
 D2 : 110,111    2(1a:6 2c:48 2e:192 2f:24) x 2(1a:6 2c:48 2e:192 2f:24)
 D2 : 1,120    2(2b:20 2c:20 2d:80 2e:40 2f:110) x 2(1a:6 2c:48 2e:192 2f:24)
 D2 : 1,14    2(2b:20 2c:20 2d:80 2e:40 2f:110) x 2(2b:20 2c:20 2d:80 2e:40 2f:110)
 D2 : 28,110    2(2f:270) x 2(1a:6 2c:48 2e:192 2f:24)
 D2 : 28,1    2(2f:270) x 2(2b:20 2c:20 2d:80 2e:40 2f:110)
 D3 : 308,122    3(3b:18 3c:18 3d:126 3e:72 3f:36) x 2(1a:6 2c:48 2e:192 2f:24)
 D3 : 518,1    3(3g:270) x 2(2b:20 2c:20 2d:80 2e:40 2f:110)
 D4 : 640,110    4(1a:6 4c:96 4d:96 4e:72) x 2(1a:6 2c:48 2e:192 2f:24)
 D4 : 640,20    4(1a:6 4c:96 4d:96 4e:72) x 2(2b:20 2c:20 2d:80 2e:40 2f:110)
 D5 : 730,133    5(5b:60 5c:90 5d:60 5e:60) x 2(1a:6 2c:48 2e:192 2f:24)
 D5 : 730,1    5(5b:60 5c:90 5d:60 5e:60) x 2(2b:20 2c:20 2d:80 2e:40 2f:110)
 D6 : 1189,1    6(6f:270) x 2(2b:20 2c:20 2d:80 2e:40 2f:110)
 T  : 308,110,152    3(3b:18 3c:18 3d:126 3e:72 3f:36) x 2(1a:6 2c:48 2e:192 2f:24) x 2(1a:6 2c:48 2e:192 2f:24)
 O  : 331,640,110    3(3b:18 3c:18 3d:126 3e:72 3f:36) x 4(1a:6 4c:96 4d:96 4e:72) x 2(1a:6 2c:48 2e:192 2f:24)
