 C2 : 115    2(1a:38 2c:76)
 C2 : 1    2(2b:12 2c:26 2d:36 2e:36 2f:4)
 C3 : 430    3(1a:6 3c:36 3d:36 3e:36)
 C3 : 118    3(3b:18 3c:18 3d:36 3e:36 3f:6)
 C3 : 307    3(3f:114)
 C19 : 1153   19(19c:114)
 C19 : 1155   19(19d:114)
 C19 : 1152   19(19e:114)
 D2 : 1,116    2(2b:12 2c:26 2d:36 2e:36 2f:4) x 2(1a:38 2c:76)
 D2 : 1,78    2(2b:12 2c:26 2d:36 2e:36 2f:4) x 2(2b:12 2c:26 2d:36 2e:36 2f:4)
 D3 : 307,2    3(3f:114) x 2(2b:12 2c:26 2d:36 2e:36 2f:4)
 D19 : 1153,1   19(19c:114) x 2(2b:12 2c:26 2d:36 2e:36 2f:4)
 D19 : 1155,1   19(19d:114) x 2(2b:12 2c:26 2d:36 2e:36 2f:4)
 D19 : 1152,1   19(19e:114) x 2(2b:12 2c:26 2d:36 2e:36 2f:4)
