1 2 3
1 2 4
1 3 5
1 4 7
1 5 9
1 7 12
1 9 16
1 12 16
2 3 6
2 4 8
2 6 11
2 8 15
2 11 20
2 15 20
3 5 10
3 6 13
3 10 19
3 13 24
3 19 24
4 7 14
4 8 17
4 14 25
4 17 30
4 25 30
5 9 18
5 10 21
5 18 31
5 21 37
5 31 37
6 11 22
6 13 26
6 22 38
6 26 46
6 38 46
7 12 23
7 14 27
7 23 39
7 27 47
7 39 47
8 15 28
8 17 32
8 28 48
8 32 57
8 48 57
9 16 29
9 18 33
9 29 49
9 33 58
9 49 58
10 19 34
10 21 40
10 34 59
10 40 71
10 59 71
11 20 35
11 22 41
11 35 60
11 41 72
11 60 72
12 16 36
12 23 42
12 36 61
12 42 73
12 61 73
13 24 43
13 26 50
13 43 74
13 50 85
13 74 85
14 25 44
14 27 51
14 44 67
14 51 86
14 67 86
15 20 45
15 28 52
15 45 75
15 52 87
15 75 87
16 29 53
16 36 66
16 53 88
16 66 88
17 30 54
17 32 62
17 54 81
17 62 98
17 81 98
18 31 55
18 33 63
18 54 55
18 54 97
18 63 97
19 24 56
19 34 64
19 56 89
19 64 99
19 89 99
20 35 65
20 45 80
20 65 100
20 80 100
21 37 67
21 40 76
21 67 68
21 68 109
21 76 109
22 38 68
22 41 77
22 44 68
22 44 108
22 77 108
23 39 69
23 42 78
23 43 69
23 43 84
23 78 84
24 43 79
24 56 94
24 79 110
24 94 110
25 30 70
25 44 64
25 64 99
25 70 101
25 99 101
26 46 81
26 50 90
26 55 81
26 55 117
26 90 117
27 47 59
27 51 91
27 59 82
27 82 118
27 91 118
28 34 82
28 34 96
28 48 82
28 52 92
28 92 96
29 35 70
29 35 83
29 49 83
29 53 93
29 70 93
30 54 79
30 70 107
30 79 110
30 107 110
31 37 84
31 52 55
31 52 87
31 84 101
31 87 101
32 57 74
32 62 102
32 69 74
32 69 123
32 102 123
33 48 58
33 48 82
33 63 103
33 82 124
33 103 124
34 59 82
34 64 104
34 96 104
35 60 83
35 65 105
35 70 105
36 45 56
36 45 95
36 56 106
36 61 95
36 66 106
37 65 67
37 65 100
37 84 116
37 100 116
38 42 68
38 42 73
38 46 96
38 73 107
38 96 107
39 41 69
39 41 72
39 47 97
39 72 89
39 89 97
40 60 71
40 60 83
40 76 111
40 83 120
40 111 120
41 69 121
41 77 112
41 112 121
42 68 124
42 78 103
42 103 124
43 69 74
43 79 113
43 84 113
44 64 114
44 67 68
44 108 114
45 56 115
45 75 95
45 80 115
46 53 81
46 53 88
46 88 116
46 96 116
47 59 80
47 80 100
47 97 122
47 100 122
48 57 108
48 58 94
48 94 108
49 50 83
49 50 85
49 58 86
49 75 85
49 75 86
50 83 114
50 90 119
50 114 119
51 75 86
51 75 95
51 91 111
51 95 113
51 111 113
52 55 121
52 92 112
52 112 121
53 81 118
53 91 93
53 91 118
54 55 81
54 79 120
54 97 120
55 117 121
56 89 106
56 94 115
57 66 74
57 66 88
57 88 122
57 108 122
58 86 125
58 94 110
58 110 125
59 71 117
59 80 117
60 61 71
60 61 98
60 72 98
61 62 95
61 62 98
61 71 73
62 95 104
62 102 119
62 104 119
63 89 97
63 89 106
63 102 103
63 102 105
63 105 106
64 104 119
64 114 119
65 67 123
65 102 105
65 102 123
66 74 109
66 76 106
66 76 109
67 86 123
68 109 124
69 121 123
70 93 101
70 105 107
71 73 125
71 117 125
72 89 99
72 98 126
72 99 126
73 107 110
73 110 125
74 85 109
75 85 87
76 92 106
76 92 112
76 111 112
77 91 93
77 91 112
77 93 115
77 94 108
77 94 115
78 84 101
78 90 103
78 90 115
78 93 101
78 93 115
79 111 113
79 111 120
80 90 115
80 90 117
81 98 118
82 118 124
83 114 120
84 113 116
85 87 126
85 109 126
86 123 125
87 99 101
87 99 126
88 100 116
88 100 122
90 103 119
91 111 112
92 96 107
92 105 106
92 105 107
95 104 113
96 104 116
97 120 122
98 118 126
102 103 119
104 113 116
108 114 122
109 124 126
114 120 122
117 121 125
118 124 126
121 123 125
