 C2 : 47    2(1a:2 2b:20 2c:40 2e:10)
 C2 : 1    2(2c:32 2d:32 2e:8)
 C2 : 12    2(2e:72)
 C3 : 164    3(3b:18 3c:36 3d:18)
 C4 : 244    4(4b:16 4c:40 4d:16)
 C5 : 427    5(1a:2 5b:10 5c:40 5d:20)
 S2 : 1    2(2c:32 2d:32 2e:8)
 S2 : 12    2(2e:72)
 S4 : 244    4(4b:16 4c:40 4d:16)
 S6 : 568    6(6c:36 6d:36)
 S8 : 649    8(8b:16 8c:48 8d:8)
 S8 : 648    8(8c:40 8d:32)
 S10 : 1018   10(2e:2 10c:70)
 D2 : 47,55    2(1a:2 2b:20 2c:40 2e:10) x 2(1a:2 2b:20 2c:40 2e:10)
 D2 : 1,47    2(2c:32 2d:32 2e:8) x 2(1a:2 2b:20 2c:40 2e:10)
 D2 : 1,21    2(2c:32 2d:32 2e:8) x 2(2c:32 2d:32 2e:8)
 D2 : 12,47    2(2e:72) x 2(1a:2 2b:20 2c:40 2e:10)
 D2 : 12,1    2(2e:72) x 2(2c:32 2d:32 2e:8)
 D3 : 164,4    3(3b:18 3c:36 3d:18) x 2(2c:32 2d:32 2e:8)
 D4 : 244,48    4(4b:16 4c:40 4d:16) x 2(1a:2 2b:20 2c:40 2e:10)
 D4 : 244,1    4(4b:16 4c:40 4d:16) x 2(2c:32 2d:32 2e:8)
 D5 : 427,47    5(1a:2 5b:10 5c:40 5d:20) x 2(1a:2 2b:20 2c:40 2e:10)
 D5 : 427,2    5(1a:2 5b:10 5c:40 5d:20) x 2(2c:32 2d:32 2e:8)
 T  : 164,1,21    3(3b:18 3c:36 3d:18) x 2(2c:32 2d:32 2e:8) x 2(2c:32 2d:32 2e:8)
