 C2 : 134    2(1a:10 2c:20)
 C2 : 1    2(2b:20 2c:10)
 C2 : 3    2(2c:30)
 C3 : 164    3(3b:30)
 C5 : 436    5(1a:10 5c:20)
 C5 : 424    5(5c:30)
 C10 : 948   10(1a:10 10c:20)
 S2 : 3    2(2c:30)
 S4 : 364    4(2c:10 4b:20)
 S6 : 448    6(6b:30)
 D2 : 1,156    2(2b:20 2c:10) x 2(1a:10 2c:20)
 D2 : 1,27    2(2b:20 2c:10) x 2(2b:20 2c:10)
 D2 : 3,134    2(2c:30) x 2(1a:10 2c:20)
 D2 : 3,1    2(2c:30) x 2(2b:20 2c:10)
 D3 : 164,1    3(3b:30) x 2(2b:20 2c:10)
 D5 : 436,3    5(1a:10 5c:20) x 2(2c:30)
 D5 : 424,1    5(5c:30) x 2(2b:20 2c:10)
 D5 : 424,3    5(5c:30) x 2(2c:30)
