 C2 : 4    2(2b:16 2c:16 2d:16)
 C2 : 1    2(2c:32 2d:16)
 C2 : 12    2(2c:48)
 C2 : 2    2(2d:48)
 C3 : 340    3(1a:12 3c:36)
 C3 : 160    3(3b:18 3c:30)
 C3 : 161    3(3c:48)
 C4 : 348    4(4b:16 4c:32)
 C4 : 406    4(4d:48)
 C5 : 444    5(1a:8 5c:40)
 C6 : 468    6(6b:12 6c:36)
 C6 : 469    6(6b:24 6c:24)
 S2 : 1    2(2c:32 2d:16)
 S2 : 12    2(2c:48)
 S2 : 2    2(2d:48)
 S4 : 348    4(4b:16 4c:32)
 S4 : 406    4(4d:48)
 S6 : 482    6(2c:8 2d:4 6b:12 6c:12 6d:12)
 S6 : 468    6(6b:12 6c:36)
 S6 : 469    6(6b:24 6c:24)
 S10 : 788   10(2c:8 10b:40)
 S10 : 789   10(2c:8 10c:40)
 S10 : 768   10(2d:8 10b:20 10c:20)
 S10 : 769   10(2d:8 10c:40)
 S12 : 984   12(12b:24 12c:24)
 D2 : 4,5    2(2b:16 2c:16 2d:16) x 2(2b:16 2c:16 2d:16)
 D2 : 1,4    2(2c:32 2d:16) x 2(2b:16 2c:16 2d:16)
 D2 : 1,3    2(2c:32 2d:16) x 2(2c:32 2d:16)
 D2 : 12,4    2(2c:48) x 2(2b:16 2c:16 2d:16)
 D2 : 12,1    2(2c:48) x 2(2c:32 2d:16)
 D2 : 12,13    2(2c:48) x 2(2c:48)
 D2 : 2,10    2(2d:48) x 2(2b:16 2c:16 2d:16)
 D2 : 2,1    2(2d:48) x 2(2c:32 2d:16)
 D2 : 2,18    2(2d:48) x 2(2c:48)
 D2 : 2,14    2(2d:48) x 2(2d:48)
 D3 : 340,2    3(1a:12 3c:36) x 2(2d:48)
 D3 : 161,8    3(3c:48) x 2(2b:16 2c:16 2d:16)
 D3 : 161,33    3(3c:48) x 2(2c:32 2d:16)
 D4 : 348,8    4(4b:16 4c:32) x 2(2b:16 2c:16 2d:16)
 D4 : 348,13    4(4b:16 4c:32) x 2(2c:48)
 D4 : 348,21    4(4b:16 4c:32) x 2(2d:48)
 D4 : 406,4    4(4d:48) x 2(2b:16 2c:16 2d:16)
 D4 : 406,12    4(4d:48) x 2(2c:48)
 D4 : 406,2    4(4d:48) x 2(2d:48)
 D5 : 444,19    5(1a:8 5c:40) x 2(2b:16 2c:16 2d:16)
 D5 : 444,17    5(1a:8 5c:40) x 2(2c:32 2d:16)
 D6 : 468,5    6(6b:12 6c:36) x 2(2b:16 2c:16 2d:16)
 D6 : 468,1    6(6b:12 6c:36) x 2(2c:32 2d:16)
 D6 : 469,22    6(6b:24 6c:24) x 2(2b:16 2c:16 2d:16)
 D6 : 469,37    6(6b:24 6c:24) x 2(2c:32 2d:16)
 T  : 160,4,20    3(3b:18 3c:30) x 2(2b:16 2c:16 2d:16) x 2(2b:16 2c:16 2d:16)
 T  : 160,1,17    3(3b:18 3c:30) x 2(2c:32 2d:16) x 2(2c:32 2d:16)
 T  : 160,12,13    3(3b:18 3c:30) x 2(2c:48) x 2(2c:48)
 T  : 161,1,17    3(3c:48) x 2(2c:32 2d:16) x 2(2c:32 2d:16)
