 C2 : 1    2(2b:24 2c:24 2d:96 2e:24)
 C2 : 2    2(2e:168)
 C3 : 370    3(1a:6 3c:54 3d:108)
 C3 : 256    3(3b:27 3c:27 3d:108 3e:6)
 C3 : 257    3(3e:168)
 C7 : 725    7(7b:42 7c:42 7d:84)
 S2 : 2    2(2e:168)
 S6 : 442    6(2e:6 6c:54 6d:108)
 S14 : 1442   14(14b:14 14c:42 14d:112)
 D2 : 1,10    2(2b:24 2c:24 2d:96 2e:24) x 2(2b:24 2c:24 2d:96 2e:24)
 D2 : 2,1    2(2e:168) x 2(2b:24 2c:24 2d:96 2e:24)
 D3 : 370,7    3(1a:6 3c:54 3d:108) x 2(2b:24 2c:24 2d:96 2e:24)
 D3 : 257,2    3(3e:168) x 2(2e:168)
 D7 : 725,1    7(7b:42 7c:42 7d:84) x 2(2b:24 2c:24 2d:96 2e:24)
