 C2 : 57    2(1a:2 2b:20 2c:40 2d:70)
 C2 : 1    2(2c:24 2d:108)
 C2 : 14    2(2d:132)
 C3 : 244    3(3b:24 3c:36 3d:72)
 C4 : 354    4(4b:24 4c:60 4d:48)
 C4 : 359    4(4c:36 4d:96)
 C5 : 574    5(1a:2 5c:40 5d:90)
 C5 : 577    5(1a:2 5c:70 5d:60)
 S2 : 1    2(2c:24 2d:108)
 S2 : 14    2(2d:132)
 S4 : 354    4(4b:24 4c:60 4d:48)
 S4 : 359    4(4c:36 4d:96)
 S6 : 839    6(6b:12 6c:24 6d:96)
 S6 : 838    6(6b:12 6c:72 6d:48)
 S10 : 1169   10(2d:2 10b:20 10c:60 10d:50)
 S10 : 1171   10(2d:2 10c:40 10d:90)
 D2 : 57,84    2(1a:2 2b:20 2c:40 2d:70) x 2(1a:2 2b:20 2c:40 2d:70)
 D2 : 1,57    2(2c:24 2d:108) x 2(1a:2 2b:20 2c:40 2d:70)
 D2 : 1,13    2(2c:24 2d:108) x 2(2c:24 2d:108)
 D2 : 14,57    2(2d:132) x 2(1a:2 2b:20 2c:40 2d:70)
 D2 : 14,1    2(2d:132) x 2(2c:24 2d:108)
 D3 : 244,66    3(3b:24 3c:36 3d:72) x 2(1a:2 2b:20 2c:40 2d:70)
 D3 : 244,2    3(3b:24 3c:36 3d:72) x 2(2c:24 2d:108)
 D4 : 354,65    4(4b:24 4c:60 4d:48) x 2(1a:2 2b:20 2c:40 2d:70)
 D4 : 354,9    4(4b:24 4c:60 4d:48) x 2(2c:24 2d:108)
 D4 : 359,57    4(4c:36 4d:96) x 2(1a:2 2b:20 2c:40 2d:70)
 D4 : 359,3    4(4c:36 4d:96) x 2(2c:24 2d:108)
 D5 : 574,58    5(1a:2 5c:40 5d:90) x 2(1a:2 2b:20 2c:40 2d:70)
 D5 : 574,28    5(1a:2 5c:40 5d:90) x 2(2c:24 2d:108)
 D5 : 577,62    5(1a:2 5c:70 5d:60) x 2(1a:2 2b:20 2c:40 2d:70)
 D5 : 577,10    5(1a:2 5c:70 5d:60) x 2(2c:24 2d:108)
 T  : 244,3,51    3(3b:24 3c:36 3d:72) x 2(2c:24 2d:108) x 2(2c:24 2d:108)
 O  : 254,354,38    3(3b:24 3c:36 3d:72) x 4(4b:24 4c:60 4d:48) x 2(2c:24 2d:108)
