 C2 : 68    2(1a:2 2c:96 2d:12)
 C2 : 1    2(2b:20 2c:20 2d:70)
 C2 : 17    2(2d:110)
 C3 : 244    3(1a:2 3b:24 3c:36 3d:48)
 C4 : 464    4(1a:2 4b:24 4c:72 4d:12)
 C11 : 1960   11(11c:66 11d:44)
 S2 : 17    2(2d:110)
 S4 : 354    4(2d:2 4c:48 4d:60)
 S6 : 838    6(2d:2 6b:24 6c:60 6d:24)
 S22 : 2520   22(22b:22 22c:22 22d:66)
 D2 : 68,69    2(1a:2 2c:96 2d:12) x 2(1a:2 2c:96 2d:12)
 D2 : 1,68    2(2b:20 2c:20 2d:70) x 2(1a:2 2c:96 2d:12)
 D2 : 1,16    2(2b:20 2c:20 2d:70) x 2(2b:20 2c:20 2d:70)
 D2 : 17,68    2(2d:110) x 2(1a:2 2c:96 2d:12)
 D2 : 17,1    2(2d:110) x 2(2b:20 2c:20 2d:70)
 D3 : 244,70    3(1a:2 3b:24 3c:36 3d:48) x 2(1a:2 2c:96 2d:12)
 D3 : 244,10    3(1a:2 3b:24 3c:36 3d:48) x 2(2b:20 2c:20 2d:70)
 D4 : 464,68    4(1a:2 4b:24 4c:72 4d:12) x 2(1a:2 2c:96 2d:12)
 D4 : 464,9    4(1a:2 4b:24 4c:72 4d:12) x 2(2b:20 2c:20 2d:70)
 D11 : 1960,2   11(11c:66 11d:44) x 2(2b:20 2c:20 2d:70)
 T  : 244,73,88    3(1a:2 3b:24 3c:36 3d:48) x 2(1a:2 2c:96 2d:12) x 2(1a:2 2c:96 2d:12)
 O  : 252,464,82    3(1a:2 3b:24 3c:36 3d:48) x 4(1a:2 4b:24 4c:72 4d:12) x 2(1a:2 2c:96 2d:12)
