 C2 : 202    2(1a:16 2c:128 2e:224 2f:16)
 C2 : 6    2(2b:32 2c:32 2d:160 2e:160)
 C2 : 9    2(2d:192 2e:192)
 C2 : 1    2(2e:192 2f:192)
 C2 : 2    2(2e:256 2f:128)
 C3 : 368    3(3b:12 3c:24 3d:132 3e:192 3f:24)
 C4 : 981    4(4c:128 4d:128 4e:128)
 C4 : 898    4(4c:48 4d:96 4e:240)
 C4 : 1067    4(4c:64 4d:128 4e:64 4f:128)
 C4 : 880    4(4c:64 4d:64 4e:224 4f:32)
 C4 : 896    4(4c:96 4d:128 4e:96 4f:64)
 C4 : 1019    4(4c:96 4d:64 4e:224)
 C4 : 1009    4(4d:128 4e:192 4f:64)
 C4 : 926    4(4d:160 4e:224)
 C4 : 912    4(4d:192 4e:192)
 C4 : 882    4(4d:256 4e:96 4f:32)
 C4 : 969    4(4e:256 4f:128)
 C4 : 881    4(4e:352 4f:32)
 C4 : 920    4(4e:384)
 C8 : 2819    8(8b:16 8c:16 8d:112 8e:240)
 C8 : 2851    8(8c:64 8d:128 8e:128 8f:64)
 C8 : 2892    8(8d:160 8e:224)
 S2 : 9    2(2d:192 2e:192)
 S2 : 1    2(2e:192 2f:192)
 S2 : 2    2(2e:256 2f:128)
 S4 : 981    4(4c:128 4d:128 4e:128)
 S4 : 898    4(4c:48 4d:96 4e:240)
 S4 : 1067    4(4c:64 4d:128 4e:64 4f:128)
 S4 : 880    4(4c:64 4d:64 4e:224 4f:32)
 S4 : 896    4(4c:96 4d:128 4e:96 4f:64)
 S4 : 1019    4(4c:96 4d:64 4e:224)
 S4 : 1009    4(4d:128 4e:192 4f:64)
 S4 : 926    4(4d:160 4e:224)
 S4 : 912    4(4d:192 4e:192)
 S4 : 882    4(4d:256 4e:96 4f:32)
 S4 : 969    4(4e:256 4f:128)
 S4 : 881    4(4e:352 4f:32)
 S4 : 920    4(4e:384)
 S6 : 2304    6(6b:12 6c:24 6d:132 6e:192 6f:24)
 S8 : 2819    8(8b:16 8c:16 8d:112 8e:240)
 S8 : 2816    8(8b:16 8c:32 8d:48 8e:256 8f:32)
 S8 : 2900    8(8b:16 8c:64 8d:80 8e:192 8f:32)
 S8 : 2817    8(8c:48 8d:128 8e:176 8f:32)
 S8 : 2851    8(8c:64 8d:128 8e:128 8f:64)
 S8 : 2892    8(8d:160 8e:224)
 D2 : 202,246    2(1a:16 2c:128 2e:224 2f:16) x 2(1a:16 2c:128 2e:224 2f:16)
 D2 : 6,18    2(2b:32 2c:32 2d:160 2e:160) x 2(2b:32 2c:32 2d:160 2e:160)
 D2 : 9,6    2(2d:192 2e:192) x 2(2b:32 2c:32 2d:160 2e:160)
 D2 : 9,14    2(2d:192 2e:192) x 2(2d:192 2e:192)
 D2 : 1,235    2(2e:192 2f:192) x 2(1a:16 2c:128 2e:224 2f:16)
 D2 : 1,74    2(2e:192 2f:192) x 2(2b:32 2c:32 2d:160 2e:160)
 D2 : 1,42    2(2e:192 2f:192) x 2(2e:192 2f:192)
 D2 : 2,235    2(2e:256 2f:128) x 2(1a:16 2c:128 2e:224 2f:16)
 D2 : 2,1    2(2e:256 2f:128) x 2(2e:192 2f:192)
 D2 : 2,3    2(2e:256 2f:128) x 2(2e:256 2f:128)
 D3 : 368,22    3(3b:12 3c:24 3d:132 3e:192 3f:24) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 981,202    4(4c:128 4d:128 4e:128) x 2(1a:16 2c:128 2e:224 2f:16)
 D4 : 981,75    4(4c:128 4d:128 4e:128) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 981,9    4(4c:128 4d:128 4e:128) x 2(2d:192 2e:192)
 D4 : 981,1    4(4c:128 4d:128 4e:128) x 2(2e:192 2f:192)
 D4 : 981,60    4(4c:128 4d:128 4e:128) x 2(2e:256 2f:128)
 D4 : 898,15    4(4c:48 4d:96 4e:240) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 1067,202    4(4c:64 4d:128 4e:64 4f:128) x 2(1a:16 2c:128 2e:224 2f:16)
 D4 : 1067,79    4(4c:64 4d:128 4e:64 4f:128) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 1067,41    4(4c:64 4d:128 4e:64 4f:128) x 2(2e:192 2f:192)
 D4 : 1067,4    4(4c:64 4d:128 4e:64 4f:128) x 2(2e:256 2f:128)
 D4 : 880,11    4(4c:64 4d:64 4e:224 4f:32) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 880,5    4(4c:64 4d:64 4e:224 4f:32) x 2(2e:256 2f:128)
 D4 : 896,255    4(4c:96 4d:128 4e:96 4f:64) x 2(1a:16 2c:128 2e:224 2f:16)
 D4 : 896,20    4(4c:96 4d:128 4e:96 4f:64) x 2(2b:32 2c:32 2d:160 2e:160)
 D4 : 896,21    4(4c:96 4d:128 4e:96 4f:64) x 2(2d:192 2e:192)
 D4 : 896,25    4(4c:96 4d:128 4e:96 4f:64) x 2(2e:256 2f:128)
 D4 : 1019,235    4(4c:96 4d:64 4e:224) x 2(1a:16 2c:128 2e:224 2f:16)
