 C2 : 61    2(1a:6 2c:72 2d:60 2e:24)
 C2 : 1    2(2b:36 2c:36 2d:90)
 C2 : 15    2(2d:162)
 C3 : 612    3(1a:27 3c:108 3e:27)
 C3 : 333    3(3b:27 3c:81 3d:54)
 C3 : 331    3(3c:108 3d:54)
 C3 : 330    3(3c:54 3d:108)
 C3 : 329    3(3c:54 3d:54 3e:54)
 C3 : 328    3(3d:162)
 C3 : 471    3(3e:162)
 C4 : 786    4(1a:6 4c:72 4d:60 4e:24)
 C6 : 867    6(6b:18 6c:72 6d:72)
 C6 : 938    6(6c:108 6d:54)
 C6 : 902    6(6c:162)
 C9 : 2280    9(9c:54 9d:108)
 S2 : 15    2(2d:162)
 S4 : 624    4(2d:6 4c:120 4d:36)
 S6 : 867    6(6b:18 6c:72 6d:72)
 S6 : 938    6(6c:108 6d:54)
 S6 : 902    6(6c:162)
 S18 : 3462   18(18b:18 18c:72 18d:72)
 D2 : 61,96    2(1a:6 2c:72 2d:60 2e:24) x 2(1a:6 2c:72 2d:60 2e:24)
 D2 : 1,94    2(2b:36 2c:36 2d:90) x 2(1a:6 2c:72 2d:60 2e:24)
 D2 : 1,11    2(2b:36 2c:36 2d:90) x 2(2b:36 2c:36 2d:90)
 D2 : 15,61    2(2d:162) x 2(1a:6 2c:72 2d:60 2e:24)
 D2 : 15,1    2(2d:162) x 2(2b:36 2c:36 2d:90)
 D3 : 331,94    3(3c:108 3d:54) x 2(1a:6 2c:72 2d:60 2e:24)
 D3 : 331,1    3(3c:108 3d:54) x 2(2b:36 2c:36 2d:90)
 D3 : 330,2    3(3c:54 3d:108) x 2(2b:36 2c:36 2d:90)
 D3 : 328,4    3(3d:162) x 2(2b:36 2c:36 2d:90)
 D3 : 471,61    3(3e:162) x 2(1a:6 2c:72 2d:60 2e:24)
 D3 : 471,1    3(3e:162) x 2(2b:36 2c:36 2d:90)
 D4 : 786,61    4(1a:6 4c:72 4d:60 4e:24) x 2(1a:6 2c:72 2d:60 2e:24)
 D4 : 786,1    4(1a:6 4c:72 4d:60 4e:24) x 2(2b:36 2c:36 2d:90)
 D6 : 867,24    6(6b:18 6c:72 6d:72) x 2(2b:36 2c:36 2d:90)
 D6 : 938,61    6(6c:108 6d:54) x 2(1a:6 2c:72 2d:60 2e:24)
 D6 : 938,1    6(6c:108 6d:54) x 2(2b:36 2c:36 2d:90)
 D6 : 902,1    6(6c:162) x 2(2b:36 2c:36 2d:90)
 T  : 333,61,96    3(3b:27 3c:81 3d:54) x 2(1a:6 2c:72 2d:60 2e:24) x 2(1a:6 2c:72 2d:60 2e:24)
 T  : 330,61,222    3(3c:54 3d:108) x 2(1a:6 2c:72 2d:60 2e:24) x 2(1a:6 2c:72 2d:60 2e:24)
 O  : 378,786,177    3(3c:54 3d:108) x 4(1a:6 4c:72 4d:60 4e:24) x 2(1a:6 2c:72 2d:60 2e:24)
