 C2 : 428    2(1a:24 2c:192 2e:288)
 C2 : 1    2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 C2 : 6    2(2e:288 2f:160 2g:56)
 C2 : 3    2(2e:336 2f:168)
 C2 : 4    2(2f:384 2g:120)
 C2 : 2    2(2g:504)
 C3 : 513    3(3b:18 3c:18 3d:144 3e:252 3f:72)
 C3 : 512    3(3e:504)
 C4 : 1024    4(4d:144 4e:312 4f:48)
 C4 : 1028    4(4d:96 4e:336 4f:48 4g:24)
 C6 : 1711    6(6c:72 6d:96 6e:240 6f:96)
 C6 : 1705    6(6c:96 6d:96 6e:192 6f:120)
 C6 : 1696    6(6d:192 6e:312)
 C6 : 1700    6(6e:432 6f:72)
 C6 : 1698    6(6e:504)
 C7 : 3552    7(7d:168 7e:168 7f:168)
 C12 : 5636   12(12c:48 12d:216 12e:168 12f:72)
 C14 : 6961   14(14c:168 14d:168 14e:168)
 C14 : 6967   14(14d:168 14e:280 14f:56)
 C14 : 6960   14(14d:168 14e:336)
 S2 : 6    2(2e:288 2f:160 2g:56)
 S2 : 3    2(2e:336 2f:168)
 S2 : 4    2(2f:384 2g:120)
 S2 : 2    2(2g:504)
 S4 : 1046    4(2e:16 2g:8 4c:32 4d:64 4e:320 4f:64)
 S4 : 1048    4(2f:24 4d:192 4e:192 4f:96)
 S4 : 1040    4(2g:24 4c:96 4d:192 4e:192)
 S4 : 1024    4(4d:144 4e:312 4f:48)
 S4 : 1028    4(4d:96 4e:336 4f:48 4g:24)
 S6 : 1718    6(6c:36 6d:162 6e:252 6f:54)
 S6 : 1711    6(6c:72 6d:96 6e:240 6f:96)
 S6 : 1705    6(6c:96 6d:96 6e:192 6f:120)
 S6 : 1696    6(6d:192 6e:312)
 S6 : 1700    6(6e:432 6f:72)
 S6 : 1698    6(6e:504)
 S12 : 5838   12(12b:24 12c:24 12d:144 12e:240 12f:72)
 S12 : 5636   12(12c:48 12d:216 12e:168 12f:72)
 S14 : 6961   14(14c:168 14d:168 14e:168)
 S14 : 6967   14(14d:168 14e:280 14f:56)
 S14 : 6960   14(14d:168 14e:336)
 D2 : 428,432    2(1a:24 2c:192 2e:288) x 2(1a:24 2c:192 2e:288)
 D2 : 1,434    2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12) x 2(1a:24 2c:192 2e:288)
 D2 : 1,21    2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D2 : 6,429    2(2e:288 2f:160 2g:56) x 2(1a:24 2c:192 2e:288)
 D2 : 6,12    2(2e:288 2f:160 2g:56) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D2 : 6,29    2(2e:288 2f:160 2g:56) x 2(2e:288 2f:160 2g:56)
 D2 : 3,428    2(2e:336 2f:168) x 2(1a:24 2c:192 2e:288)
 D2 : 3,1    2(2e:336 2f:168) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D2 : 3,6    2(2e:336 2f:168) x 2(2e:288 2f:160 2g:56)
 D2 : 3,18    2(2e:336 2f:168) x 2(2e:336 2f:168)
 D2 : 4,429    2(2f:384 2g:120) x 2(1a:24 2c:192 2e:288)
 D2 : 4,12    2(2f:384 2g:120) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D2 : 4,6    2(2f:384 2g:120) x 2(2e:288 2f:160 2g:56)
 D2 : 4,3    2(2f:384 2g:120) x 2(2e:336 2f:168)
 D2 : 4,53    2(2f:384 2g:120) x 2(2f:384 2g:120)
 D2 : 2,428    2(2g:504) x 2(1a:24 2c:192 2e:288)
 D2 : 2,5    2(2g:504) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D2 : 2,6    2(2g:504) x 2(2e:288 2f:160 2g:56)
 D2 : 2,3    2(2g:504) x 2(2e:336 2f:168)
 D2 : 2,4    2(2g:504) x 2(2f:384 2g:120)
 D2 : 2,16    2(2g:504) x 2(2g:504)
 D3 : 513,8    3(3b:18 3c:18 3d:144 3e:252 3f:72) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D3 : 512,428    3(3e:504) x 2(1a:24 2c:192 2e:288)
 D3 : 512,14    3(3e:504) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D3 : 512,6    3(3e:504) x 2(2e:288 2f:160 2g:56)
 D3 : 512,4    3(3e:504) x 2(2f:384 2g:120)
 D4 : 1024,83    4(4d:144 4e:312 4f:48) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D4 : 1024,6    4(4d:144 4e:312 4f:48) x 2(2e:288 2f:160 2g:56)
 D4 : 1024,3    4(4d:144 4e:312 4f:48) x 2(2e:336 2f:168)
 D4 : 1024,16    4(4d:144 4e:312 4f:48) x 2(2g:504)
 D4 : 1028,31    4(4d:96 4e:336 4f:48 4g:24) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D4 : 1028,75    4(4d:96 4e:336 4f:48 4g:24) x 2(2e:288 2f:160 2g:56)
 D4 : 1028,18    4(4d:96 4e:336 4f:48 4g:24) x 2(2e:336 2f:168)
 D4 : 1028,2    4(4d:96 4e:336 4f:48 4g:24) x 2(2g:504)
 D6 : 1711,428    6(6c:72 6d:96 6e:240 6f:96) x 2(1a:24 2c:192 2e:288)
 D6 : 1711,42    6(6c:72 6d:96 6e:240 6f:96) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D6 : 1711,43    6(6c:72 6d:96 6e:240 6f:96) x 2(2e:288 2f:160 2g:56)
 D6 : 1711,27    6(6c:72 6d:96 6e:240 6f:96) x 2(2f:384 2g:120)
 D6 : 1705,430    6(6c:96 6d:96 6e:192 6f:120) x 2(1a:24 2c:192 2e:288)
 D6 : 1705,22    6(6c:96 6d:96 6e:192 6f:120) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D6 : 1705,99    6(6c:96 6d:96 6e:192 6f:120) x 2(2e:288 2f:160 2g:56)
 D6 : 1705,122    6(6c:96 6d:96 6e:192 6f:120) x 2(2f:384 2g:120)
 D6 : 1696,11    6(6d:192 6e:312) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D6 : 1700,432    6(6e:432 6f:72) x 2(1a:24 2c:192 2e:288)
 D6 : 1700,37    6(6e:432 6f:72) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D6 : 1700,6    6(6e:432 6f:72) x 2(2e:288 2f:160 2g:56)
 D6 : 1700,4    6(6e:432 6f:72) x 2(2f:384 2g:120)
 D6 : 1698,1    6(6e:504) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
 D7 : 3552,8    7(7d:168 7e:168 7f:168) x 2(2b:24 2c:24 2d:120 2e:240 2f:84 2g:12)
